first_name,last_name,email,Remaining Goal Amount
Calogero,Cross,calogero.cross@mercantini.it,194500.00
Guillermina,Nicholson,guillermina.nicholson@grondin.fr,189500.00
Svenja,Perrin,svenja.perrin@berger.com,186700.00
Chantal,Armas,chantal.armas@jenkins.net,153700.00
Lauretta,Neal,lauretta.neal@hotmail.de,153700.00
Ariadna,Geisel,ariadna.geisel@rangel.com,110100.00
Mathilde,Kruschwitz,mathilde.kruschwitz@yahoo.com,93800.00
Henry,Gucci,henry.gucci@leleu.fr,72100.00
Gabriela,Padilla,gabriela.padilla@pearson-russell.com,41000.00
Katarina,Clarke,katarina.clarke@hotmail.com.au,9900.00
Caroline,Reeves,caroline.reeves@yahoo.com,8600.00
Imelda,Guerin,imelda.guerin@stumpf.net,3800.00
Danny,Farrell,danny.farrell@hotmail.com,3600.00
Tobias,Carbajal,tobias.carbajal@live.com,3600.00
